id_original,nombre_etiqueta,numero_imagenes,total_pixeles
0,background,250,248161330
1,C7,213,511119
2,C6,171,312408
3,C5,94,176061
4,C4,23,34397
5,C3,2,6012
6,T1,238,792441
7,T2,245,1264592
8,T3,247,1172832
9,T4,246,1181918
10,T5,241,1240650
11,T6,235,1206119
12,T7,231,1296989
13,T8,225,1363220
14,T9,221,1426601
15,T10,215,1586349
16,T11,199,1712351
17,T12,183,2035732
18,L1,163,2071617
19,L2,152,2084327
20,L3,137,2042789
21,L4,114,1868007
22,L5,89,1159390
25,Entity 13,1,708
26,Entity 14,2,1000
27,Entity 16,1,468
28,Entity 17,1,405
29,Entity 18,1,433
32,Entity 6,1,676
34,10,1,1452
35,2,1,2409
